"Date","Price","Open","High","Low","Vol.","Change %"
"17-08-2023","232.50","234.95","235.85","231.90","6.54M","-1.04%"
"16-08-2023","234.95","230.00","235.50","228.05","6.72M","1.64%"
"14-08-2023","231.15","236.00","236.15","229.10","10.73M","-2.14%"
"11-08-2023","236.20","238.05","238.35","235.15","6.88M","-0.40%"
"10-08-2023","237.15","236.00","241.70","233.50","25.16M","0.96%"
"09-08-2023","234.90","237.00","237.00","232.00","10.52M","0.43%"
"08-08-2023","233.90","234.50","236.65","230.50","9.46M","0.47%"
"07-08-2023","232.80","236.90","237.00","232.20","7.29M","-1.21%"
"04-08-2023","235.65","237.00","237.35","234.50","7.71M","0.08%"
"03-08-2023","235.45","235.25","237.60","232.55","10.78M","-0.13%"
"02-08-2023","235.75","244.70","244.70","233.30","22.64M","-3.54%"
