"Date","Price","Open","High","Low","Vol.","Change %"
"08-01-2024","242.35","242.40","245.25","240.40","13.59M","0.46%"
"05-01-2024","241.25","242.00","245.00","239.30","16.35M","-0.08%"
"04-01-2024","241.45","238.00","243.10","237.05","19.66M","1.86%"
"03-01-2024","237.05","236.00","238.70","234.60","8.28M","-0.34%"
"02-01-2024","237.85","240.00","240.10","236.15","9.13M","-0.17%"
"01-01-2024","238.25","237.90","239.50","236.40","5.95M","0.44%"
"29-12-2023","237.20","237.80","238.25","234.75","12.67M","-0.79%"
"28-12-2023","239.10","235.10","239.95","234.10","39.16M","2.16%"
"27-12-2023","234.05","235.00","235.85","232.50","10.23M","0.30%"
"26-12-2023","233.35","232.00","235.80","231.05","6.77M","0.69%"
"22-12-2023","231.75","233.00","234.20","230.50","9.74M","-0.26%"
"21-12-2023","232.35","224.45","233.20","222.70","17.76M","2.29%"
"20-12-2023","227.15","234.95","235.40","226.20","20.40M","-2.74%"
"19-12-2023","233.55","232.15","234.40","230.85","12.61M","0.73%"
"18-12-2023","231.85","236.90","236.90","231.45","29.05M","-2.32%"
"15-12-2023","237.35","235.00","238.10","227.15","41.34M","2.26%"
"14-12-2023","232.10","237.25","237.60","231.10","29.97M","-2.05%"
"13-12-2023","236.95","231.00","237.50","230.60","26.88M","2.42%"
"12-12-2023","231.35","230.00","233.30","229.50","14.36M","0.17%"
"11-12-2023","230.95","228.00","232.90","226.55","19.11M","1.03%"
"08-12-2023","228.60","231.80","233.40","226.45","22.21M","-0.61%"
"07-12-2023","230.00","225.00","232.40","224.25","24.53M","2.50%"
"06-12-2023","224.40","226.00","226.25","222.50","29.54M","0.94%"
"05-12-2023","222.30","213.70","223.25","211.55","40.71M","4.42%"
"04-12-2023","212.90","211.70","214.10","211.70","27.91M","1.28%"
"01-12-2023","210.20","211.50","212.45","209.45","20.72M","0.60%"
"30-11-2023","208.95","210.40","212.80","208.25","60.35M","-1.00%"
"29-11-2023","211.05","210.30","211.45","209.10","10.06M","0.40%"
"28-11-2023","210.20","214.45","214.45","209.50","15.63M","-0.12%"
"24-11-2023","210.45","211.30","212.10","209.50","7.25M","-0.21%"
"23-11-2023","210.90","212.05","213.10","209.25","11.38M","-0.33%"
"22-11-2023","211.60","208.20","212.60","208.20","13.08M","1.27%"
"21-11-2023","208.95","210.00","210.15","207.95","9.61M","-0.17%"
"20-11-2023","209.30","210.10","211.20","208.85","11.16M","-0.10%"
"17-11-2023","209.50","207.70","210.70","206.90","16.71M","1.11%"
"16-11-2023","207.20","206.70","208.85","205.70","27.53M","-1.40%"
"15-11-2023","210.15","215.00","215.00","209.80","19.18M","-1.01%"
"13-11-2023","212.30","212.00","215.10","210.70","11.35M","0.19%"
"12-11-2023","211.90","213.60","213.60","211.70","1.01M","0.36%"
"10-11-2023","211.15","210.50","213.00","209.60","12.07M","0.64%"
"09-11-2023","209.80","207.30","210.50","206.10","13.78M","1.35%"
"08-11-2023","207.00","209.00","209.60","206.65","7.44M","-0.48%"
"07-11-2023","208.00","208.20","209.10","205.75","10.73M","-0.10%"
"06-11-2023","208.20","205.00","208.95","204.95","9.80M","1.86%"
"03-11-2023","204.40","203.40","206.50","203.10","8.68M","0.64%"
"02-11-2023","203.10","201.75","203.65","200.90","12.92M","1.07%"
"01-11-2023","200.95","202.35","202.35","200.50","5.60M","-0.59%"
"31-10-2023","202.15","201.50","202.95","200.55","7.47M","0.65%"
"30-10-2023","200.85","200.95","202.20","197.65","7.68M","-0.05%"
"27-10-2023","200.95","199.25","201.80","199.15","10.00M","1.01%"
"26-10-2023","198.95","198.75","200.00","196.30","11.07M","-0.28%"
"25-10-2023","199.50","199.00","200.45","197.80","16.82M","-0.13%"
